threshold,class_label,direction,trained_cond_pct,trained_unc_pct,trained_imp_pct,novel_trained_cond_pct,novel_trained_unc_pct,novel_trained_cond_trans_inv_pct,novel_trained_unc_trans_inv_pct
0.3,1,alive,62.5,96.875,-34.375,78.125,100.0,0.0,0.0
0.3,0,dead,98.4375,81.25,17.1875,100.0,100.0,0.0,0.0
