category,unc_percent,cond_0_percent,cond_1_percent
Alive,39.0,39.0,39.0
Still Life,25.0,25.0,25.0
Oscillator P2,13.0,13.0,13.0
Other,1.0,1.0,1.0
Dead,61.0,61.0,61.0
