threshold,class_label,direction,trained_cond_pct,trained_unc_pct,trained_imp_pct,novel_trained_cond_pct,novel_trained_unc_pct,novel_trained_cond_trans_inv_pct,novel_trained_unc_trans_inv_pct
0.3,1,alive,32.8125,98.4375,-65.625,98.4375,100.0,0.0,0.0
0.3,0,dead,3.125,4.6875,-1.5625,100.0,100.0,0.0,0.0
